2023,6,15
product_name,original_price,discounted_price,discount_rate,image_link,search_keyword,purchase_link
시티보이 보트자수 린넨 오버핏 반팔셔츠 (BEIGE),47000,39000,17,http://image.msscdn.net/images/goods_img/20220416/2494133/2494133_1_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2494133
시티보이 빅오버 옥스포드 반팔 셔츠_White,45000,36000,20,http://image.msscdn.net/images/goods_img/20210503/1935174/1935174_16810899181083_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/1935174
[Package]시티보이 빅오버 데님 반팔 셔츠_4Color,109800,69800,36,http://image.msscdn.net/images/goods_img/20230413/3230980/3230980_16816949229822_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3230980
파인데이 박스셔츠_WHITE,99000,99000,0,http://image.msscdn.net/images/goods_img/20220504/2540995/2540995_16831682697154_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2540995
숏슬리브 시어서커 셔츠 - 화이트,189000,189000,0,http://image.msscdn.net/images/goods_img/20230502/3271381/3271381_16843658579909_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3271381
오버핏 컴포트 셔츠 다크그레이,54800,39500,28,http://image.msscdn.net/images/goods_img/20220502/2533564/2533564_16818653953904_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2533564
시티보이 빅오버 데님 반팔 셔츠_Deep Blue,54900,43800,20,http://image.msscdn.net/images/goods_img/20230411/3224508/3224508_16816461213578_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3224508
Short Sleeve Comfort Shirt (White),159000,159000,0,http://image.msscdn.net/images/goods_img/20230413/3230721/3230721_16820599295338_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3230721
가먼트다잉 오픈 카라 반팔 셔츠 차콜그레이 IESH3E402CG,99000,87000,12,http://image.msscdn.net/images/goods_img/20230321/3167341/3167341_16824040859564_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3167341
시티보이 오버핏 데님 반팔 셔츠 (BLACK),52000,39800,23,http://image.msscdn.net/images/goods_img/20220508/2545209/2545209_1_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2545209
아이스 코튼 스트링 반팔 셔츠_MidNight Blue,49000,39000,20,http://image.msscdn.net/images/goods_img/20230411/3224471/3224471_16816460469660_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3224471
오픈 칼라 쇼트 슬리브 셔츠 [블랙],31900,28690,10,http://image.msscdn.net/images/goods_img/20190604/1063856/1063856_6_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/1063856
클래식썸머셔츠 (블랙),36500,29200,20,http://image.msscdn.net/images/goods_img/20220427/2522746/2522746_1_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2522746
